Model,Skenario,Train_Accuracy,Test_Accuracy,Gap_Accuracy,Train_F1,Test_F1,Gap_F1,Overfit_Status,Test_Precision,Test_Recall,Test_Specificity,ROC_AUC
Logistic Regression,Baseline,0.8948412698412699,0.8612212529738303,0.03362001686743954,0.917031934877896,0.8904195366311835,0.026612398246712576,⚠️ CUKUP (gap 3-5%),0.8965952080706179,0.8843283582089553,0.8205689277899344,0.9267135329914978
Naive Bayes,Baseline,0.8781746031746032,0.8675654242664552,0.010609178908147943,0.9008718114304165,0.8923275306254029,0.008544280805013571,✅ AMAN (gap < 3%),0.9263721552878179,0.8606965174129353,0.8796498905908097,0.9241797032343751
SVM,Baseline,0.9103174603174603,0.8667724028548771,0.04354505746258319,0.9286165508528111,0.89272030651341,0.035896244339401195,⚠️ CUKUP (gap 3-5%),0.9173228346456693,0.8694029850746269,0.862144420131291,0.9194087004800942
Random Forest,Baseline,0.9920634920634921,0.8421887390959556,0.1498747529675365,0.993798449612403,0.8710304601425793,0.1227679894698237,❌ OVERFITTING (gap > 8%),0.9093369418132612,0.835820895522388,0.8533916849015317,0.9169891788323156
KNN,Baseline,0.7232142857142857,0.6843774781919112,0.038836807522374506,0.8183357207969788,0.7961065573770492,0.022229163419929643,⚠️ CUKUP (gap 3-5%),0.676829268292683,0.9664179104477612,0.18818380743982493,0.6813947222312944
Logistic Regression,Threshold (th=0.55),0.8948412698412699,0.8739095955590801,0.020931674282189783,0.917031934877896,0.8978805394990366,0.01915139537885946,✅ AMAN (gap < 3%),0.9282868525896414,0.8694029850746269,0.8818380743982495,0.9267135329914978
Naive Bayes,Threshold (th=0.45),0.8781746031746032,0.8707375099127677,0.0074370932618355035,0.9008718114304165,0.8961121733588273,0.0047596380715891895,✅ AMAN (gap < 3%),0.918954248366013,0.8743781094527363,0.8643326039387309,0.9241797032343751
SVM,Threshold (th=0.50),0.9103174603174603,0.8643933386201428,0.04592412169731752,0.9286165508528111,0.8925204274041484,0.036096123448662754,⚠️ CUKUP (gap 3-5%),0.9021601016518425,0.8830845771144279,0.8315098468271335,0.9194087004800942
Random Forest,Threshold (th=0.40),0.9920634920634921,0.8437747819191118,0.14828871014438028,0.993798449612403,0.8792152053954629,0.1145832442169401,❌ OVERFITTING (gap > 8%),0.8669891172914147,0.8917910447761194,0.7592997811816192,0.9169891788323156
KNN,Threshold (th=0.65),0.7232142857142857,0.7081681205392546,0.015046165175031101,0.8183357207969788,0.8029978586723768,0.015337862124601975,✅ AMAN (gap < 3%),0.7048872180451128,0.9328358208955224,0.31291028446389496,0.6813947222312944
Logistic Regression,Threshold+Tuning (th=0.60),0.8291666666666667,0.8691514670896114,-0.03998480042294472,0.873027577053532,0.8926480156148341,-0.019620438561302134,✅ AMAN (gap < 3%),0.9358799454297408,0.8532338308457711,0.8971553610503282,0.9168639842363674
Naive Bayes,Threshold+Tuning (th=0.45),0.881547619047619,0.865979381443299,0.015568237604320023,0.9032571706368497,0.8913183279742766,0.011938842662573168,✅ AMAN (gap < 3%),0.9227696404793608,0.8619402985074627,0.8730853391684902,0.9221493734826959
SVM,Threshold+Tuning (th=0.60),0.8668650793650794,0.8691514670896114,-0.0022863877245320463,0.8956940774133375,0.8937540244687702,0.0019400529445673387,✅ AMAN (gap < 3%),0.9265687583444593,0.8631840796019901,0.8796498905908097,0.9219180356423572
Random Forest,Threshold+Tuning (th=0.40),0.9918650793650794,0.838223632038065,0.15364144732701435,0.9936404529238405,0.8748466257668711,0.1187938271569694,❌ OVERFITTING (gap > 8%),0.8631961259079903,0.8868159203980099,0.7527352297592997,0.914087930152302
KNN,Threshold+Tuning (th=0.35),0.7748015873015873,0.7010309278350515,0.07377065946653583,0.8463516989305537,0.8027210884353742,0.04363061049517958,⚠️ WASPADA (gap 5-8%),0.6928635953026197,0.9539800995024875,0.25601750547045954,0.6647302328619485
